Ticker,Company,Sector,SubIndustry,1Y_Change(%),Volatility(%),AvgAnnualReturn(%),MaxDrawdown(%)
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,-23.877079964026414,52.649386103780216,-13.819596943460697,50.41169747295445
TYL,Tyler Technologies,Information Technology,Application Software,-24.431619693680574,27.475161594837367,-24.697574239082734,28.099388195075438
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,-24.899150526202277,32.06616135574525,-23.893368718296372,36.624209776414645
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,-25.018330168152186,33.169494570716076,-23.58810030634568,40.95171630939912
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,-25.223845137959366,26.16913720922005,-26.000544709513722,33.869952737727026
ELV,Elevance Health,Health Care,Managed Health Care,-25.4237683153305,35.3394901160582,-23.401059072679278,39.05966242550035
KVUE,Kenvue,Consumer Staples,Personal Care Products,-25.654893277592322,34.904554562740785,-23.975770679042327,41.20375083919948
UPS,United Parcel Service,Industrials,Air Freight & Logistics,-25.803717428592886,32.60335511454304,-24.87478902183077,36.928903751124324
WY,Weyerhaeuser,Real Estate,Timber REITs,-25.92593853227287,27.61942865783191,-26.675394617441373,28.585725765654992
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,-25.956752812654514,22.919260777063716,-27.889370914811874,28.244006007000706
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,-26.01701835492845,28.955725520990942,-26.343559889883483,32.54608920878114
LEN,Lennar,Consumer Discretionary,Homebuilding,-26.245775306983216,34.34552454905811,-25.049650022112342,40.36566767488278
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,-26.325227919406842,36.23156848147116,-24.517530903309705,32.85597079312662
EIX,Edison International,Utilities,Electric Utilities,-26.488610514500127,34.98532080607472,-25.01370832702317,43.88253176192028
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",-27.066619520793957,38.249707394350594,-24.604327620247112,43.28869734246679
PAYC,Paycom,Industrials,Human Resource & Employment Services,-27.34210658131498,36.12066720591341,-25.923296233064306,38.17568511962452
RVTY,Revvity,Health Care,Health Care Equipment,-27.60327666859069,37.936878543270964,-25.638891240554823,34.861117482764435
OMC,Omnicom Group,Communication Services,Advertising,-27.842947276928626,31.747000962732645,-28.074300925939994,32.36222161091607
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,-27.87223024184316,41.56700706416277,-24.550536391598083,46.866945277489535
CPRT,Copart,Industrials,Diversified Support Services,-28.312714337317598,26.71374182440523,-30.222566955792384,37.37468758352493
CDW,CDW Corporation,Information Technology,Technology Distributors,-29.24691580793622,32.109106327017,-29.971534643981535,30.598827449071475
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,-29.390806900126247,26.6513275727161,-31.790248936118843,34.05519286775863
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,-30.076629374469317,41.64480032001617,-27.168079651579475,34.664752789716566
CPB,Campbell's Company (The),Consumer Staples,Packaged Foods & Meats,-30.390711527986912,27.616443099998357,-32.98507762483761,33.2068506925797
BRO,Brown & Brown,Financials,Insurance Brokers,-30.445726884825348,25.087784262883357,-33.647703386802654,38.403573439671824
ZTS,Zoetis,Health Care,Pharmaceuticals,-30.47413180775701,28.505111055117798,-32.74927185151395,32.25853388165229
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,-30.918896515315016,39.31826778077897,-29.80534482098595,35.20189704213088
SNPS,Synopsys,Information Technology,Application Software,-30.93673249164503,57.35883438570395,-19.102971693217498,39.91167375078664
GPN,Global Payments,Financials,Transaction & Payment Processing Services,-31.011453788213466,40.574044089004204,-29.333725883853074,43.20666264127244
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,-31.45867605311433,31.59345782225414,-33.282464289831765,42.165977204204964
POOL,Pool Corporation,Consumer Discretionary,Distributors,-32.113035557587146,31.930168479551828,-34.26857594052699,35.59411873867607
ACN,Accenture,Information Technology,IT Consulting & Other Services,-32.13783069943121,28.279164439162447,-35.35723919616356,41.021444268105746
CLX,Clorox,Consumer Staples,Household Products,-32.25448208837579,22.30876263171672,-37.03626804466879,35.03629626361745
ON,ON Semiconductor,Information Technology,Semiconductors,-32.26926138781063,58.81498437717344,-22.431111741296775,56.79512903117312
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-32.56931502560642,51.755819339683015,-26.565428539689563,46.68042599684063
ERIE,Erie Indemnity,Financials,Insurance Brokers,-32.64488395880619,32.494829731822996,-34.780183150979596,36.77335422886016
COO,Cooper Companies (The),Health Care,Health Care Supplies,-33.22365355919038,35.63003081159727,-34.489158937507675,38.731189142626285
ADBE,Adobe Inc.,Information Technology,Application Software,-34.65024408517847,33.96258302095892,-37.24768622822634,40.80042080877539
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,-34.98162168375465,44.83993909983266,-33.49605683388513,49.29115890997941
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,-35.15932761816581,37.557384170272016,-36.8086983643588,37.484743588848296
CMCSA,Comcast,Communication Services,Cable & Satellite,-35.86384737587133,27.520469495299434,-41.23523092170101,36.653170568085585
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,-36.944190602379045,25.170366777468423,-43.652377508578645,37.23241850550442
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,-37.83532518497356,38.82721404441412,-40.749039191322886,41.69701383107386
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,-38.646162722122156,39.91690465699102,-41.243889295790595,43.261729781687045
BLDR,Builders FirstSource,Industrials,Building Products,-39.148390295277444,45.27568053517029,-40.29503101838062,44.119982047533675
ALGN,Align Technology,Health Care,Health Care Supplies,-39.81006385093993,53.42732955678559,-35.104590341586814,48.079163880292484
CNC,Centene Corporation,Health Care,Managed Health Care,-40.65899199859322,57.66408385388119,-33.25646160450714,61.73926344210402
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,-43.7594728180174,31.31926249169606,-53.34161205751838,46.298595051225014
CHTR,Charter Communications,Communication Services,Cable & Satellite,-44.570528222586375,39.58789161982714,-51.82283281651999,49.00877691975388
UNH,UnitedHealth Group,Health Care,Managed Health Care,-45.73725879399262,48.53933648075599,-49.636234020242654,61.39087038676742
FDS,FactSet,Financials,Financial Exchanges & Data,-45.95771425338609,26.765894231481386,-58.831797215008585,48.338658530270514
LYB,LyondellBasell,Materials,Specialty Chemicals,-47.33549831610695,40.28858815395408,-56.92747767906658,47.33549831610695
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,-47.50042957122435,37.883758416068474,-57.96629207190196,53.808951368839686
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",-48.12876327824425,51.290439617702575,-52.988425960579534,62.04055614800286
BAX,Baxter International,Health Care,Health Care Equipment,-48.97494100562912,42.974265976759256,-58.52414876507645,50.324133084485545
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,-50.28373328600284,37.30688038499345,-63.65401372798931,50.42323548966343
DOW,Dow Inc.,Materials,Commodity Chemicals,-51.11182330814131,47.92363135437481,-61.0596609625962,54.736177861514314
MRNA,Moderna,Health Care,Biotechnology,-51.61097749723078,68.69618749131716,-50.07164109390983,53.24184407386614
DECK,Deckers Brands,Consumer Discretionary,Footwear,-53.42010081452049,54.35961950353823,-62.05398825895766,64.34942373809623
MOH,Molina Healthcare,Health Care,Managed Health Care,-56.433417023438594,52.15700780601438,-69.89089298918412,58.3767402207937
IT,Gartner,Information Technology,IT Consulting & Other Services,-58.12482617819579,40.68695333678096,-79.15720005036492,59.04675593934137
TTD,Trade Desk (The),Communication Services,Advertising,-65.3663306808623,75.31927346635376,-75.21262744561638,68.51121637523738
FI,Fiserv,Financials,Transaction & Payment Processing Services,-70.493607263438,59.37584917753966,-101.34068771075302,74.0821721652703
